,price_vol_corr,amt_zscore,turnover_ratio_5,amt_trend
总收益,0.15178054140913666,0.5956590071754524,0.8880611898977522,0.6557844580523513
年化收益,0.28055147281539106,1.2654013454779602,2.0410818837756044,1.4168887107641033
年化波动,0.6183162523549176,1.2595178221481549,1.369747486370323,1.3214556791601226
夏普比率,0.4537345925275027,1.0046712505582263,1.490115443967152,1.072218110004745
最大回撤,-0.312764227950757,-0.31289414115744707,-0.3381881840094698,-0.32879710277519403
交易天数,144.0,144.0,144.0,144.0
基准总收益,0.6092673540115356,0.6092673540115356,0.6092673540115356,0.6092673540115356
超额收益,-0.457486812602399,-0.013608346836083252,0.27879383588621653,0.04651710404081566
基准夏普,0.6093237224655311,0.6093237224655311,0.6093237224655311,0.6093237224655311
